[ INFO] [I] 2024-03-18 10:18:26: 1    [main] ( Log4jTest.java,79 ) - The info level !
[ WARN] [I] 2024-03-18 10:18:26: 5    [main] ( Log4jTest.java,80 ) - Ths warn level !
[ERROR] [I] 2024-03-18 10:18:26: 5    [main] ( Log4jTest.java,81 ) - The error level !
[ INFO] [I] 2024-03-20 11:59:58: 0    [main] ( Log4jTest.java,79 ) - The info level !
[ WARN] [I] 2024-03-20 11:59:58: 3    [main] ( Log4jTest.java,80 ) - Ths warn level !
[ERROR] [I] 2024-03-20 11:59:58: 4    [main] ( Log4jTest.java,81 ) - The error level !
[ INFO] [I] 2024-03-25 19:31:38: 0    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:31:38 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:31:38: 60   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:31:39: 969  [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
[ INFO] [I] 2024-03-25 19:36:15: 1    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:36:15 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:36:15: 56   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:36:16: 1031 [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
[ INFO] [I] 2024-03-25 19:36:17: 1487 [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
[ INFO] [I] 2024-03-25 19:39:20: 0    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:39:20 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:39:20: 61   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:39:21: 1013 [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
[ INFO] [I] 2024-03-25 19:39:21: 1489 [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
[ INFO] [I] 2024-03-25 19:39:43: 0    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:39:43 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:39:43: 60   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:39:44: 986  [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
[ INFO] [I] 2024-03-25 19:39:53: 0    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:39:53 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:39:53: 54   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:39:54: 1091 [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
[ INFO] [I] 2024-03-25 19:51:48: 0    [main] ( AbstractApplicationContext.java,583 ) - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4411d970: startup date [Mon Mar 25 19:51:48 CST 2024]; root of context hierarchy
[ INFO] [I] 2024-03-25 19:51:48: 61   [main] ( XmlBeanDefinitionReader.java,317 ) - Loading XML bean definitions from class path resource [META-INF/spring/spring-database-config.xml]
[ INFO] [I] 2024-03-25 19:51:50: 1089 [main] ( DruidDataSource.java,996 ) - {dataSource-1} inited
